,,50.80%,41.40%,32.50%,,,,32.50%,,
2114,Maximum Number of Words Found in Sentences,88.50%,Easy,70.90%,50.80%,-40.85%,1,0.591,,
1470,Shuffle the Array,88.40%,Easy,70.80%,50.80%,-40.65%,1,0.593,,
1623,All Valid Triplets That Can Represent a Country,88.40%,Easy,70.80%,50.80%,-40.65%,1,0.593,Sql,1
104,Maximum Depth of Binary Tree,72.30%,Easy,70.77%,50.80%,-40.60%,1,0.594,,
2160,Minimum Sum of Four Digit Number After Splitting Digits,88.20%,Easy,70.60%,50.80%,-40.24%,1,0.598,,
1512,Number of Good Pairs,88.00%,Easy,70.40%,50.80%,-39.84%,1,0.602,,
344,Reverse String,75.30%,Easy,70.25%,50.80%,-39.54%,1,0.605,,
1431,Kids With the Greatest Number of Candies,87.70%,Easy,70.10%,50.80%,-39.23%,1,0.608,,
1603,Design Parking System,87.70%,Easy,70.10%,50.80%,-39.23%,1,0.608,,
94,Binary Tree Inorder Traversal,71.40%,Easy,70.02%,50.80%,-39.07%,1,0.609,,
1853,Convert Date Format,87.60%,Easy,70.00%,50.80%,-39.02%,1,0.610,Sql,1
359,Logger Rate Limiter,75.20%,Easy,69.93%,50.80%,-38.89%,1,0.611,,1
1379,Find a Corresponding Node of a Binary Tree in a Clone of That Tree,87.30%,Easy,69.70%,50.80%,-38.41%,1,0.616,,
338,Counting Bits,74.60%,Easy,69.64%,50.80%,-38.30%,1,0.617,,
237,Delete Node in a Linked List,72.70%,Easy,69.22%,50.80%,-37.45%,1,0.626,,
617,Merge Two Binary Trees,78.20%,Easy,69.15%,50.80%,-37.30%,1,0.627,,
226,Invert Binary Tree,72.20%,Easy,68.89%,50.80%,-36.76%,1,0.632,,
1281,Subtract the Product and Sum of Digits of an Integer,86.50%,Easy,68.90%,50.80%,-36.79%,1,0.632,,
1365,How Many Numbers Are Smaller Than the Current Number,86.40%,Easy,68.80%,50.80%,-36.59%,1,0.634,,
1165,Single-Row Keyboard,85.70%,Easy,68.61%,50.80%,-36.21%,1,0.638,,1
175,Combine Two Tables,71.10%,Easy,68.53%,50.80%,-36.04%,1,0.640,Sql,
1342,Number of Steps to Reduce a Number to Zero,86.00%,Easy,68.40%,50.80%,-35.77%,1,0.642,,
584,Find Customer Referee,76.90%,Easy,68.33%,50.80%,-35.64%,1,0.644,Sql,1
804,Unique Morse Code Words,80.10%,Easy,68.31%,50.80%,-35.59%,1,0.644,,
1313,Decompress Run-Length Encoded List,85.90%,Easy,68.30%,50.80%,-35.57%,1,0.644,,
1678,Goal Parser Interpretation,85.90%,Easy,68.30%,50.80%,-35.57%,1,0.644,,
1720,Decode XORed Array,85.90%,Easy,68.30%,50.80%,-35.57%,1,0.644,,
1528,Shuffle String,85.80%,Easy,68.20%,50.80%,-35.37%,1,0.646,,
1389,Create Target Array in the Given Order,85.70%,Easy,68.10%,50.80%,-35.16%,1,0.648,,
1777,Product's Price for Each Store,85.70%,Easy,68.10%,50.80%,-35.16%,1,0.648,Sql,1
2194,Cells in a Range on an Excel Sheet,85.60%,Easy,68.00%,50.80%,-34.96%,1,0.650,,
206,Reverse Linked List,71.00%,Easy,67.98%,50.80%,-34.92%,1,0.651,,
2026,Low-Quality Problems,85.50%,Easy,67.90%,50.80%,-34.76%,1,0.652,Sql,1
461,Hamming Distance,74.60%,Easy,67.84%,50.80%,-34.63%,1,0.654,,
590,N-ary Tree Postorder Traversal,76.50%,Easy,67.85%,50.80%,-34.65%,1,0.654,,
561,Array Partition I,76.00%,Easy,67.77%,50.80%,-34.50%,1,0.655,,
589,N-ary Tree Preorder Traversal,76.40%,Easy,67.76%,50.80%,-34.47%,1,0.655,,
832,Flipping an Image,79.90%,Easy,67.70%,50.80%,-34.34%,1,0.657,,
136,Single Number,69.60%,Easy,67.61%,50.80%,-34.16%,1,0.658,,
1221,Split a String in Balanced Strings,84.50%,Easy,66.90%,50.80%,-32.72%,1,0.673,,
182,Duplicate Emails,69.50%,Easy,66.83%,50.80%,-32.58%,1,0.674,Sql,
1773,Count Items Matching a Rule,84.40%,Easy,66.80%,50.80%,-32.52%,1,0.675,,
1859,Sorting the Sentence,84.40%,Easy,66.80%,50.80%,-32.52%,1,0.675,,
1484,Group Sold Products By The Date,84.20%,Easy,66.60%,50.80%,-32.11%,1,0.679,Sql,1
1656,Design an Ordered Stream,84.20%,Easy,66.60%,50.80%,-32.11%,1,0.679,,
728,Self Dividing Numbers,77.20%,Easy,66.52%,50.80%,-31.96%,1,0.680,,
1069,Product Sales Analysis II,82.20%,Easy,66.52%,50.80%,-31.95%,1,0.680,Sql,1
595,Big Countries,75.20%,Easy,66.47%,50.80%,-31.86%,1,0.681,Sql,
1486,XOR Operation in an Array,84.10%,Easy,66.50%,50.80%,-31.91%,1,0.681,,
577,Employee Bonus,74.90%,Easy,66.44%,50.80%,-31.78%,1,0.682,Sql,1
700,Search in a Binary Search Tree,76.70%,Easy,66.43%,50.80%,-31.78%,1,0.682,,
1421,NPV Queries,83.80%,Easy,66.20%,50.80%,-31.30%,1,0.687,Sql,1
1173,Immediate Food Delivery I,83.20%,Easy,66.00%,50.80%,-30.89%,1,0.691,Sql,1
1588,Sum of All Odd Length Subarrays,83.60%,Easy,66.00%,50.80%,-30.89%,1,0.691,,
1791,Find Center of Star Graph,83.60%,Easy,66.00%,50.80%,-30.89%,1,0.691,,
1251,Average Selling Price,83.40%,Easy,65.80%,50.80%,-30.49%,1,0.695,Sql,1
1565,Unique Orders and Customers Per Month,83.40%,Easy,65.80%,50.80%,-30.49%,1,0.695,Sql,1
657,Robot Return to Origin,75.10%,Easy,65.46%,50.80%,-29.80%,1,0.702,,
1688,Count of Matches in Tournament,82.90%,Easy,65.30%,50.80%,-29.47%,1,0.705,,
1179,Reformat Department Table,82.50%,Easy,65.21%,50.80%,-29.28%,1,0.707,Sql,
897,Increasing Order Search Tree,78.30%,Easy,65.14%,50.80%,-29.15%,1,0.708,,
108,Convert Sorted Array to Binary Search Tree,66.70%,Easy,65.12%,50.80%,-29.10%,1,0.709,,
586,Customer Placing the Largest Number of Orders,73.70%,Easy,65.11%,50.80%,-29.08%,1,0.709,Sql,1
1068,Product Sales Analysis I,80.80%,Easy,65.14%,50.80%,-29.14%,1,0.709,Sql,1
1614,Maximum Nesting Depth of the Parentheses,82.70%,Easy,65.10%,50.80%,-29.07%,1,0.709,,
2037,Minimum Number of Moves to Seat Everyone,82.70%,Easy,65.10%,50.80%,-29.07%,1,0.709,,
1021,Remove Outermost Parentheses,80.00%,Easy,65.03%,50.80%,-28.91%,1,0.711,,
1290,Convert Binary Number in a Linked List to Integer,82.60%,Easy,65.00%,50.80%,-28.86%,1,0.711,,
2325,Decode the Message,82.50%,Easy,64.90%,50.80%,-28.66%,1,0.713,,
2006,Count Number of Pairs With Absolute Difference K,82.40%,Easy,64.80%,50.80%,-28.46%,1,0.715,,
1890,The Latest Login in 2020,82.30%,Easy,64.70%,50.80%,-28.25%,1,0.717,Sql,1
181,Employees Earning More Than Their Managers,67.10%,Easy,64.45%,50.80%,-27.73%,1,0.723,Sql,
349,Intersection of Two Arrays,69.50%,Easy,64.38%,50.80%,-27.60%,1,0.724,,
1662,Check If Two String Arrays are Equivalent,81.90%,Easy,64.30%,50.80%,-27.44%,1,0.726,,
1684,Count the Number of Consistent Strings,81.90%,Easy,64.30%,50.80%,-27.44%,1,0.726,,
118,Pascal's Triangle,65.90%,Easy,64.17%,50.80%,-27.17%,1,0.728,,
2220,Minimum Bit Flips to Convert Number,81.80%,Easy,64.20%,50.80%,-27.24%,1,0.728,,
1469,Find All The Lonely Nodes,81.70%,Easy,64.10%,50.80%,-27.03%,1,0.730,,1
1965,Employees With Missing Information,81.60%,Easy,64.00%,50.80%,-26.83%,1,0.732,Sql,1
2103,Rings and Rods,81.60%,Easy,64.00%,50.80%,-26.83%,1,0.732,,
1816,Truncate Sentence,81.50%,Easy,63.90%,50.80%,-26.63%,1,0.734,,
1832,Check if the Sentence Is Pangram,81.40%,Easy,63.80%,50.80%,-26.42%,1,0.736,,
620,Not Boring Movies,72.80%,Easy,63.71%,50.80%,-26.23%,1,0.738,Sql,
1913,Maximum Product Difference Between Two Pairs,81.30%,Easy,63.70%,50.80%,-26.22%,1,0.738,,
2082,The Number of Rich Customers,81.10%,Easy,63.50%,50.80%,-25.81%,1,0.742,Sql,1
496,Next Greater Element I,70.60%,Easy,63.33%,50.80%,-25.46%,1,0.745,,
682,Baseball Game,73.30%,Easy,63.30%,50.80%,-25.40%,1,0.746,,
2315,Count Asterisks,80.90%,Easy,63.30%,50.80%,-25.41%,1,0.746,,
559,Maximum Depth of N-ary Tree,71.30%,Easy,63.10%,50.80%,-25.00%,1,0.750,,
1534,Count Good Triplets,80.70%,Easy,63.10%,50.80%,-25.00%,1,0.750,,
145,Binary Tree Postorder Traversal,65.00%,Easy,62.87%,50.80%,-24.54%,1,0.755,,
2176,Count Equal and Divisible Pairs in an Array,80.40%,Easy,62.80%,50.80%,-24.39%,1,0.756,,
535,Encode and Decode TinyURL,85.50%,Medium,77.65%,41.40%,-61.87%,2,0.763,,
183,Customers Who Never Order,65.10%,Easy,62.42%,50.80%,-23.61%,1,0.764,Sql,
905,Sort Array By Parity,75.70%,Easy,62.43%,50.80%,-23.63%,1,0.764,,
1213,Intersection of Three Sorted Arrays,80.00%,Easy,62.40%,50.80%,-23.58%,1,0.764,,1
463,Island Perimeter,69.10%,Easy,62.31%,50.80%,-23.39%,1,0.766,,
942,DI String Match,76.10%,Easy,62.28%,50.80%,-23.34%,1,0.767,,
1844,Replace All Digits with Characters,79.80%,Easy,62.20%,50.80%,-23.17%,1,0.768,,
1967,Number of Strings That Appear as Substrings in Word,79.80%,Easy,62.20%,50.80%,-23.17%,1,0.768,,
1661,Average Time of Process per Machine,79.60%,Easy,62.00%,50.80%,-22.76%,1,0.772,Sql,1
1789,Primary Department for Each Employee,79.60%,Easy,62.00%,50.80%,-22.76%,1,0.772,Sql,1
610,Triangle Judgement,70.90%,Easy,61.95%,50.80%,-22.67%,1,0.773,Sql,1
607,Sales Person,70.70%,Easy,61.80%,50.80%,-22.35%,1,0.776,Sql,1
1572,Matrix Diagonal Sum,79.40%,Easy,61.80%,50.80%,-22.36%,1,0.776,,
266,Palindrome Permutation,65.60%,Easy,61.70%,50.80%,-22.15%,1,0.778,,1
1134,Armstrong Number,78.20%,Easy,61.57%,50.80%,-21.89%,1,0.781,,1
961,N-Repeated Element in Size 2N Array,75.60%,Easy,61.51%,50.80%,-21.76%,1,0.782,,
1180,Count Substrings with Only One Distinct Letter,78.80%,Easy,61.49%,50.80%,-21.73%,1,0.783,,1
1266,Minimum Time Visiting All Points,79.10%,Easy,61.50%,50.80%,-21.75%,1,0.783,,
1309,Decrypt String from Alphabet to Integer Mapping,79.00%,Easy,61.40%,50.80%,-21.54%,1,0.785,,
1323,Maximum 69 Number,79.00%,Easy,61.40%,50.80%,-21.54%,1,0.785,,
412,Fizz Buzz,67.30%,Easy,61.26%,50.80%,-21.25%,1,0.787,,
1725,Number Of Rectangles That Can Form The Largest Square,78.90%,Easy,61.30%,50.80%,-21.34%,1,0.787,,
2108,Find First Palindromic String in the Array,78.90%,Easy,61.30%,50.80%,-21.34%,1,0.787,,
144,Binary Tree Preorder Traversal,63.30%,Easy,61.19%,50.80%,-21.11%,1,0.789,,
1464,Maximum Product of Two Elements in an Array,78.80%,Easy,61.20%,50.80%,-21.14%,1,0.789,,
1732,Find the Highest Altitude,78.80%,Easy,61.20%,50.80%,-21.14%,1,0.789,,
243,Shortest Word Distance,64.70%,Easy,61.14%,50.80%,-21.01%,1,0.790,,1
500,Keyboard Row,68.40%,Easy,61.07%,50.80%,-20.87%,1,0.791,,
1863,Sum of All Subset XOR Totals,78.70%,Easy,61.10%,50.80%,-20.93%,1,0.791,,
1252,Cells with Odd Values in a Matrix,78.50%,Easy,60.90%,50.80%,-20.53%,1,0.795,,
1265,Print Immutable Linked List in Reverse,94.30%,Medium,76.70%,41.40%,-60.24%,2,0.795,,1
169,Majority Element,63.30%,Easy,60.82%,50.80%,-20.37%,1,0.796,,
509,Fibonacci Number,68.30%,Easy,60.83%,50.80%,-20.40%,1,0.796,,
339,Nested List Weight Sum,81.60%,Medium,76.63%,41.40%,-60.12%,2,0.798,,1
21,Merge Two Sorted Lists,60.90%,Easy,60.59%,50.80%,-19.90%,1,0.801,,
1827,Minimum Operations to Make the Array Increasing,78.20%,Easy,60.60%,50.80%,-19.92%,1,0.801,,
1435,Create a Session Bar Chart,78.10%,Easy,60.50%,50.80%,-19.72%,1,0.803,Sql,1
1407,Top Travellers,77.90%,Easy,60.30%,50.80%,-19.31%,1,0.807,Sql,1
2089,Find Target Indices After Sorting Array,77.90%,Easy,60.30%,50.80%,-19.31%,1,0.807,,
876,Middle of the Linked List,73.10%,Easy,60.25%,50.80%,-19.21%,1,0.808,,
1370,Increasing Decreasing String,77.80%,Easy,60.20%,50.80%,-19.11%,1,0.809,,
1704,Determine if String Halves Are Alike,77.80%,Easy,60.20%,50.80%,-19.11%,1,0.809,,
2000,Reverse Prefix of Word,77.80%,Easy,60.20%,50.80%,-19.11%,1,0.809,,
1436,Destination City,77.70%,Easy,60.10%,50.80%,-18.90%,1,0.811,,
1812,Determine Color of a Chessboard Square,77.70%,Easy,60.10%,50.80%,-18.90%,1,0.811,,
1979,Find Greatest Common Divisor of Array,77.60%,Easy,60.00%,50.80%,-18.70%,1,0.813,,
1148,Article Views I,76.80%,Easy,59.96%,50.80%,-18.62%,1,0.814,Sql,1
191,Number of 1 Bits,62.70%,Easy,59.90%,50.80%,-18.49%,1,0.815,,
476,Number Complement,66.90%,Easy,59.92%,50.80%,-18.53%,1,0.815,,
1085,Sum of Digits in the Minimum Number,75.80%,Easy,59.89%,50.80%,-18.47%,1,0.815,,1
1374,Generate a String With Characters That Have Odd Counts,77.40%,Easy,59.80%,50.80%,-18.29%,1,0.817,,
2185,Counting Words With a Given Prefix,77.30%,Easy,59.70%,50.80%,-18.09%,1,0.819,,
637,Average of Levels in Binary Tree,69.00%,Easy,59.66%,50.80%,-18.00%,1,0.820,,
1304,Find N Unique Integers Sum up to Zero,77.10%,Easy,59.50%,50.80%,-17.68%,1,0.823,,
1327,List the Products Ordered in a Period,77.10%,Easy,59.50%,50.80%,-17.68%,1,0.823,Sql,1
1941,Check if All Characters Have Equal Number of Occurrences,77.10%,Easy,59.50%,50.80%,-17.68%,1,0.823,,
1086,High Five,75.40%,Easy,59.47%,50.80%,-17.63%,1,0.824,,1
933,Number of Recent Calls,73.10%,Easy,59.42%,50.80%,-17.51%,1,0.825,,
1295,Find Numbers with Even Number of Digits,77.00%,Easy,59.40%,50.80%,-17.48%,1,0.825,,
1082,Sales Analysis I,75.20%,Easy,59.33%,50.80%,-17.34%,1,0.827,Sql,1
1051,Height Checker,74.60%,Easy,59.19%,50.80%,-17.04%,1,0.830,,
603,Consecutive Available Seats,67.90%,Easy,59.06%,50.80%,-16.78%,1,0.832,Sql,1
821,Shortest Distance to a Character,71.10%,Easy,59.06%,50.80%,-16.79%,1,0.832,,
258,Add Digits,62.80%,Easy,59.02%,50.80%,-16.70%,1,0.833,,
1837,Sum of Digits in Base K,76.60%,Easy,59.00%,50.80%,-16.67%,1,0.833,,
1022,Sum of Root To Leaf Binary Numbers,73.90%,Easy,58.91%,50.80%,-16.49%,1,0.835,,
1450,Number of Students Doing Homework at a Given Time,76.30%,Easy,58.70%,50.80%,-16.06%,1,0.839,,
2119,A Number After a Double Reversal,76.20%,Easy,58.60%,50.80%,-15.85%,1,0.841,,
2206,Divide Array Into Equal Pairs,76.20%,Easy,58.60%,50.80%,-15.85%,1,0.841,,
293,Flip Game,62.70%,Easy,58.40%,50.80%,-15.45%,1,0.845,,1
171,Excel Sheet Column Number,60.90%,Easy,58.39%,50.80%,-15.43%,1,0.846,,
1332,Remove Palindromic Subsequences,75.90%,Easy,58.30%,50.80%,-15.24%,1,0.848,,
242,Valid Anagram,61.80%,Easy,58.25%,50.80%,-15.14%,1,0.849,,
1768,Merge Strings Alternately,75.80%,Easy,58.20%,50.80%,-15.04%,1,0.850,,
1748,Sum of Unique Elements,75.60%,Easy,58.00%,50.80%,-14.63%,1,0.854,,
2169,Count Operations to Obtain Zero,75.60%,Easy,58.00%,50.80%,-14.63%,1,0.854,,
217,Contains Duplicate,61.00%,Easy,57.82%,50.80%,-14.26%,1,0.857,,
13,Roman to Integer,57.90%,Easy,57.71%,50.80%,-14.04%,1,0.860,,
1475,Final Prices With a Special Discount in a Shop,75.30%,Easy,57.70%,50.80%,-14.02%,1,0.860,,
1351,Count Negative Numbers in a Sorted Matrix,75.20%,Easy,57.60%,50.80%,-13.82%,1,0.862,,
977,Squares of a Sorted Array,71.70%,Easy,57.37%,50.80%,-13.36%,1,0.866,,
1050,Actors and Directors Who Cooperated At Least Three Times,72.80%,Easy,57.40%,50.80%,-13.41%,1,0.866,Sql,1
1873,Calculate Special Bonus,75.00%,Easy,57.40%,50.80%,-13.41%,1,0.866,Sql,1
575,Distribute Candies,65.80%,Easy,57.37%,50.80%,-13.35%,1,0.867,,
883,Projection Area of 3D Shapes,70.30%,Easy,57.35%,50.80%,-13.31%,1,0.867,,
852,Peak Index in a Mountain Array,69.80%,Easy,57.30%,50.80%,-13.22%,1,0.868,,
1279,Traffic Light Controlled Intersection,74.90%,Easy,57.30%,50.80%,-13.21%,1,0.868,Thread,1
922,Sort Array By Parity II,70.70%,Easy,57.18%,50.80%,-12.96%,1,0.870,,
534,Game Play Analysis III,82.30%,Medium,74.47%,41.40%,-56.43%,2,0.871,Sql,1
1299,Replace Elements with Greatest Element on Right Side,74.50%,Easy,56.90%,50.80%,-12.40%,1,0.876,,
1710,Maximum Units on a Truck,74.50%,Easy,56.90%,50.80%,-12.40%,1,0.876,,
654,Maximum Binary Tree,83.90%,Medium,74.31%,41.40%,-56.16%,2,0.877,,
766,Toeplitz Matrix,68.10%,Easy,56.87%,50.80%,-12.33%,1,0.877,,
1280,Students and Examinations,74.40%,Easy,56.80%,50.80%,-12.20%,1,0.878,Sql,1
2283,Check if Number Has Equal Digit Count and Digit Value,74.40%,Easy,56.80%,50.80%,-12.20%,1,0.878,,
268,Missing Number,60.70%,Easy,56.77%,50.80%,-12.13%,1,0.879,,
283,Move Zeroes,60.90%,Easy,56.75%,50.80%,-12.09%,1,0.879,,
119,Pascal's Triangle II,58.20%,Easy,56.45%,50.80%,-11.49%,1,0.885,,
1337,The K Weakest Rows in a Matrix,73.80%,Easy,56.20%,50.80%,-10.98%,1,0.890,,
1742,Maximum Number of Balls in a Box,73.80%,Easy,56.20%,50.80%,-10.98%,1,0.890,,
1445,Apples & Oranges,91.50%,Medium,73.90%,41.40%,-55.46%,2,0.891,Sql,1
2084,Drop Type 1 Orders for Customers With Type 0 Orders,91.50%,Medium,73.90%,41.40%,-55.46%,2,0.891,Sql,1
807,Max Increase to Keep City Skyline,85.70%,Medium,73.86%,41.40%,-55.40%,2,0.892,,
366,Find Leaves of Binary Tree,79.20%,Medium,73.83%,41.40%,-55.34%,2,0.893,,1
944,Delete Columns to Make Sorted,69.90%,Easy,56.05%,50.80%,-10.68%,1,0.893,,
1474,Delete N Nodes After M Nodes of a Linked List,73.60%,Easy,56.00%,50.80%,-10.57%,1,0.894,,1
232,Implement Queue using Stacks,59.30%,Easy,55.90%,50.80%,-10.36%,1,0.896,,
762,Prime Number of Set Bits in Binary Representation,67.10%,Easy,55.92%,50.80%,-10.41%,1,0.896,,
2154,Keep Multiplying Found Values by Two,73.50%,Easy,55.90%,50.80%,-10.37%,1,0.896,,
1880,Check if Word Equals Summation of Two Words,73.40%,Easy,55.80%,50.80%,-10.16%,1,0.898,,
705,Design HashSet,66.10%,Easy,55.76%,50.80%,-10.08%,1,0.899,,
1511,Customer Order Frequency,73.30%,Easy,55.70%,50.80%,-9.96%,1,0.900,Sql,1
824,Goat Latin,67.70%,Easy,55.61%,50.80%,-9.79%,1,0.902,,
2278,Percentage of Letter in String,73.20%,Easy,55.60%,50.80%,-9.76%,1,0.902,,
257,Binary Tree Paths,59.30%,Easy,55.53%,50.80%,-9.62%,1,0.904,,
1047,Remove All Adjacent Duplicates In String,70.90%,Easy,55.54%,50.80%,-9.64%,1,0.904,,
2255,Count Prefixes of a Given String,73.10%,Easy,55.50%,50.80%,-9.55%,1,0.904,,
2072,The Winner University,73.00%,Easy,55.40%,50.80%,-9.35%,1,0.907,Sql,1
2032,Two Out of Three,72.90%,Easy,55.30%,50.80%,-9.15%,1,0.909,,
1874,Minimize Product Sum of Two Arrays,90.90%,Medium,73.30%,41.40%,-54.44%,2,0.911,,1
2053,Kth Distinct String in an Array,72.60%,Easy,55.00%,50.80%,-8.54%,1,0.915,,
696,Count Binary Substrings,65.10%,Easy,54.89%,50.80%,-8.32%,1,0.917,,
1217,Minimum Cost to Move Chips to The Same Position,72.50%,Easy,54.90%,50.80%,-8.33%,1,0.917,,
706,Design HashMap,65.20%,Easy,54.85%,50.80%,-8.22%,1,0.918,,
965,Univalued Binary Tree,69.00%,Easy,54.85%,50.80%,-8.22%,1,0.918,,
389,Find the Difference,60.50%,Easy,54.79%,50.80%,-8.12%,1,0.919,,
1460,Make Two Arrays Equal by Reversing Sub-arrays,72.40%,Easy,54.80%,50.80%,-8.13%,1,0.919,,
2057,Smallest Index With Equal Value,72.30%,Easy,54.70%,50.80%,-7.93%,1,0.921,,
2124,Check if All A's Appears Before All B's,72.30%,Easy,54.70%,50.80%,-7.93%,1,0.921,,
1393,Capital Gain/Loss,90.60%,Medium,73.00%,41.40%,-53.92%,2,0.922,Sql,1
1403,Minimum Subsequence in Non-Increasing Order,72.20%,Easy,54.60%,50.80%,-7.72%,1,0.923,,
1729,Find Followers Count,72.00%,Easy,54.40%,50.80%,-7.32%,1,0.927,Sql,1
100,Same Tree,55.80%,Easy,54.33%,50.80%,-7.18%,1,0.928,,
235,Lowest Common Ancestor of a Binary Search Tree,57.80%,Easy,54.35%,50.80%,-7.22%,1,0.928,,
566,Reshape the Matrix,62.60%,Easy,54.30%,50.80%,-7.11%,1,0.929,,
806,Number of Lines To Write String,66.00%,Easy,54.18%,50.80%,-6.87%,1,0.931,,
1207,Unique Number of Occurrences,71.80%,Easy,54.20%,50.80%,-6.91%,1,0.931,,
1570,Dot Product of Two Sparse Vectors,90.30%,Medium,72.70%,41.40%,-53.41%,2,0.932,,1
908,Smallest Range I,67.40%,Easy,54.08%,50.80%,-6.67%,1,0.933,,
1030,Matrix Cells in Distance Order,69.20%,Easy,54.09%,50.80%,-6.69%,1,0.933,,
1356,Sort Integers by The Number of 1 Bits,71.60%,Easy,54.00%,50.80%,-6.50%,1,0.935,,
46,Permutations,73.20%,Medium,72.53%,41.40%,-53.11%,2,0.938,,
1689,Partitioning Into Minimum Number Of Deci-Binary Numbers,90.10%,Medium,72.50%,41.40%,-53.07%,2,0.939,,
1974,Minimum Time to Type Word Using Special Typewriter,71.40%,Easy,53.80%,50.80%,-6.10%,1,0.939,,
1002,Find Common Characters,68.40%,Easy,53.70%,50.80%,-5.90%,1,0.941,,
1935,Maximum Number of Words You Can Type,71.30%,Easy,53.70%,50.80%,-5.89%,1,0.941,,
1211,Queries Quality and Percentage,71.20%,Easy,53.60%,50.80%,-5.69%,1,0.943,Sql,1
929,Unique Email Addresses,67.20%,Easy,53.57%,50.80%,-5.64%,1,0.944,,
1441,Build an Array With Stack Operations,71.10%,Easy,53.50%,50.80%,-5.49%,1,0.945,,
1380,Lucky Numbers in a Matrix,70.90%,Easy,53.30%,50.80%,-5.08%,1,0.949,,
252,Meeting Rooms,56.80%,Easy,53.10%,50.80%,-4.68%,1,0.953,,1
999,Available Captures for Rook,67.60%,Easy,52.95%,50.80%,-4.37%,1,0.956,,
225,Implement Stack using Queues,56.00%,Easy,52.70%,50.80%,-3.86%,1,0.961,,
448,Find All Numbers Disappeared in an Array,59.30%,Easy,52.73%,50.80%,-3.92%,1,0.961,,
884,Uncommon Words from Two Sentences,65.70%,Easy,52.73%,50.80%,-3.93%,1,0.961,,
521,Longest Uncommon Subsequence I,60.20%,Easy,52.56%,50.80%,-3.57%,1,0.964,,
121,Best Time to Buy and Sell Stock,54.30%,Easy,52.53%,50.80%,-3.51%,1,0.965,,
9,Palindrome Number,52.60%,Easy,52.47%,50.80%,-3.39%,1,0.966,,
2309,Greatest English Letter in Upper and Lower Case,70.00%,Easy,52.40%,50.80%,-3.25%,1,0.967,,
1200,Minimum Absolute Difference,69.90%,Easy,52.30%,50.80%,-3.05%,1,0.970,,
2085,Count Common Words With One Occurrence,69.90%,Easy,52.30%,50.80%,-3.05%,1,0.970,,
